Ticker,Company,Sector,Industry,MarketCap,P/E,FwdP/E,InsiderOwn,EarningsDate,Volume,Price,RS,Date,ATH,52W High,U/D,^IXIC Total,Total,Prev Total,No1,No4,No5,No6,SMA10,EMA8,EMA21,SMA50,SMA200,EMA8 Gap,SMA200 Gap,Volume SMA50,BuyFlg1,BuyFlg2,BuyFlg4,BuyingFlg
MRK,Merck & Co Inc,Healthcare,Drug Manufacturers - General,322.76B,963.46,13.18,0.19%,Feb 01/b,"6,952,764",127.37,58.91,2024-02-20,127.790001,127.790001,1.8365774281264609,7,5,5.0,1,1,1,0,126.46999970000002,124.80082504456254,119.45844627033024,116.61173644,108.907282415,2.06,16.95,8203450.0,1,1,0,0.0
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,322.01B,49.49,42.51,0.50%,Mar 07/a,"2,407,333",725.69,82.94,2024-02-20,725.690002,725.690002,1.6988035082147894,7,7,7.0,1,1,1,1,721.1159972,711.9499287041596,682.6151692519087,675.39807122,568.7323328900001,1.93,27.6,2311536.0,1,1,1,0.0
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,310.29B,64.60,14.40,0.12%,Feb 02/b,"5,484,327",175.75,65.88,2024-02-20,177.490005,177.490005,2.333324125440328,7,7,7.0,1,1,1,1,174.7779982,171.89664485063128,164.7082812933579,162.00803068000002,146.20051376499998,2.24,20.21,5550778.0,0,1,1,0.0
ORCL,Oracle Corp.,Technology,Software - Infrastructure,298.12B,29.99,17.46,41.93%,Dec 11/a,"10,975,638",108.45,18.6,2024-02-20,125.760712,125.760712,1.2519441266863,7,4,5.0,0,0,0,1,114.2209991,113.006574540326,111.40998657247708,109.071067,110.589924655,-4.03,-1.94,10177684.0,0,1,0,0.0
CVX,Chevron Corp.,Energy,Oil & Gas Integrated,289.84B,13.57,11.00,0.07%,Feb 02/b,"6,977,945",154.00,17.05,2024-02-20,178.740112,167.438614,1.1671257339337933,7,4,4.0,1,0,1,0,151.4883072,150.24636219148528,148.25360151624784,147.14940366000002,151.631072295,2.5,1.56,9441430.0,1,1,0,0.0
CRM,Salesforce Inc,Technology,Software - Application,277.23B,108.71,29.81,3.18%,Feb 28/a,"4,285,328",286.39,86.81,2024-02-20,309.959991,291.950012,1.4875993007672137,7,7,7.0,1,1,1,1,288.35899959999995,285.3941170028422,273.7841628383869,271.88959922000004,228.326849545,0.35,25.43,5122962.0,0,1,1,0.0
BAC,Bank Of America Corp.,Financial,Banks - Diversified,268.75B,11.06,9.88,0.18%,Jan 12/b,"30,372,876",33.96,37.98,2024-02-20,46.79924,35.659687,0.9856706070976544,7,7,7.0,1,1,1,1,33.402999900000005,33.44820432341908,32.851766861455864,33.14059988,29.534005565,1.53,14.99,42004602.0,1,0,1,0.0
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,267.72B,316.63,30.36,1.09%,Jan 30/a,"66,549,992",165.69,93.01,2024-02-20,180.330002,180.330002,1.5282286424289022,7,7,7.0,1,1,1,1,171.9119995,170.70856625860682,159.8152800484998,155.97459936,121.497599695,-2.94,36.37,77631010.0,1,1,1,0.0
KO,Coca-Cola Co,Consumer Defensive,Beverages - Non-Alcoholic,262.43B,24.59,20.19,0.65%,Feb 13/b,"18,339,324",60.70,22.48,2024-02-20,62.817844,62.811554,0.9035234664178288,7,4,3.0,1,1,1,0,59.71500060000001,59.76475428281098,59.41385949225281,59.48960036,58.64875390499999,1.56,3.5,14940276.0,1,0,0,0.0
NFLX,Netflix Inc.,Communication Services,Entertainment,248.89B,47.86,27.21,0.99%,Jan 23/a,"3,124,236",575.13,88.36,2024-02-20,691.690002,593.460022,1.9620667767206208,7,7,7.0,1,1,1,1,567.9270081,560.4992969422971,528.0083076719382,512.76500068,438.602700025,2.61,31.13,5189150.0,1,1,1,0.0
ADBE,Adobe Inc,Technology,Software - Infrastructure,244.94B,45.85,26.71,0.68%,Mar 14/a,"6,567,568",541.91,47.28,2024-02-20,688.369995,634.76001,0.8160655845637439,7,5,5.0,0,1,0,1,596.3459961,596.4956731991837,599.1011586964167,601.34239996,532.65119922,-9.15,1.74,3199686.0,0,0,0,0.0
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,231.80B,25.71,19.10,0.36%,Feb 09/b,"6,117,866",168.65,10.08,2024-02-20,191.935364,191.935364,0.9657473906564956,7,2,1.0,0,0,1,0,169.4250015,168.84898186954484,168.532267923459,168.53440002,173.88217699499998,-0.12,-3.01,5654264.0,0,0,0,0.0
MCD,McDonald's Corp,Consumer Cyclical,Restaurants,212.27B,25.30,21.60,0.07%,Feb 05/b,"2,263,994",292.65,25.58,2024-02-20,300.529999,300.529999,1.0018886478817697,7,5,4.0,1,1,1,0,289.4629943,291.2777198091966,290.1959418710716,292.32939758,281.574531395,0.47,3.93,3126878.0,1,1,0,0.0
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,211.78B,35.48,22.56,0.20%,Jan 31/b,"989,294",548.14,28.68,2024-02-20,663.99176,589.933533,1.4463714570804456,7,4,4.0,1,1,1,0,549.2510071999999,547.9575527936423,538.1968426711596,537.15372436,517.5251549999999,0.03,5.92,1814278.0,1,1,0,0.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,202.49B,35.72,22.67,0.74%,Jan 24/b,"9,601,289",116.64,36.43,2024-02-20,135.741043,116.639999,1.229301895839912,7,5,5.0,1,1,1,0,113.1769989,113.15957733185256,111.075924365458,111.02902208,104.13788030000002,3.08,12.01,5337136.0,1,1,0,0.0
DIS,Walt Disney Co,Communication Services,Entertainment,200.74B,67.22,20.08,0.07%,Feb 07/a,"9,770,911",109.44,51.93,2024-02-20,201.254089,112.449997,1.3531921144254997,7,5,5.0,1,1,1,1,108.2159995,104.80434535741746,98.67255148775509,95.80659948,89.43318883,4.42,22.37,13040360.0,1,1,1,0.0
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,196.18B,14.70,12.66,0.25%,Feb 14/a,"26,402,464",48.28,12.4,2024-02-20,59.704548,56.981869,1.066078532449953,7,3,3.0,0,0,0,0,49.5520001,49.80131677091719,50.14199630961291,50.08506394,50.923002285,-3.05,-5.19,20095874.0,1,1,0,0.0
TMUS,T-Mobile US Inc,Communication Services,Telecom Services,192.33B,23.36,14.11,63.51%,Jan 25/a,"4,066,747",162.05,35.66,2024-02-20,165.160004,165.160004,1.272565181778949,7,6,5.0,1,1,1,0,161.4589997,161.6826142693059,160.05130586588444,160.78779942,144.71658251,0.23,11.98,4644546.0,0,1,0,0.0
INTC,Intel Corp.,Technology,Semiconductors,188.23B,115.40,19.92,0.05%,Jan 25/a,"61,514,136",44.52,75.19,2024-02-20,62.730927,50.611649,1.6810691998152272,7,6,6.0,1,1,0,1,43.4789997,44.088950932639,44.476736977302274,45.7422107,37.58984042,0.98,18.44,44145472.0,1,1,0,0.0
WFC,Wells Fargo & Co.,Financial,Banks - Diversified,188.01B,10.73,9.68,0.13%,Jan 12/b,"19,839,124",51.77,60.46,2024-02-20,55.813,52.040001,1.005143330497959,7,7,7.0,1,1,1,1,49.459,49.61123403184101,48.40045533147897,48.71132938,43.04517293,4.35,20.27,19112938.0,0,1,1,0.0
DHR,Danaher Corp.,Healthcare,Diagnostics & Research,183.15B,38.79,28.60,8.85%,Jan 30/b,"1,982,829",247.77,49.61,2024-02-20,291.603027,250.0,1.1704390696457352,7,7,7.0,1,1,1,1,246.6740005,243.7430880175136,236.14756993672572,233.82149174000003,218.757854395,1.65,13.26,2919692.0,1,1,1,0.0
INTU,Intuit Inc,Technology,Software - Application,180.82B,70.70,34.10,2.84%,Feb 22/a,"1,470,601",645.91,80.61,2024-02-20,684.419006,664.280029,1.7623193452899182,7,7,7.0,1,1,1,1,650.8039916,645.2223109513808,625.0742682999354,622.2774768,526.309958685,0.11,22.72,1237392.0,1,1,1,0.0
VZ,Verizon Communications Inc,Communication Services,Telecom Services,170.27B,14.69,8.61,0.04%,Jan 23/b,"12,069,523",40.50,46.51,2024-02-20,51.301075,42.490002,1.0898719352005497,7,7,7.0,1,1,1,1,40.311,40.53713296344387,39.6038868966976,39.21531186,34.86634124,-0.09,16.16,21491290.0,1,1,1,0.0
QCOM,"Qualcomm, Inc.",Technology,Semiconductors,169.59B,22.02,13.94,0.22%,Jan 31/a,"8,745,482",151.96,74.41,2024-02-20,180.450577,155.979996,2.237595155225825,7,7,7.0,1,1,1,1,150.68800040000002,149.7370732594841,144.66877690479132,144.49380002,122.04137072000002,1.48,24.52,9036018.0,0,1,1,0.0
IBM,International Business Machines Corp.,Technology,Information Technology Services,167.50B,22.57,17.21,0.10%,Jan 24/a,"4,247,181",183.44,78.29,2024-02-20,188.709549,188.709549,1.1703909456139323,7,7,7.0,1,1,1,1,184.5912994,182.45757376931005,174.10682752520512,170.44332766000002,145.503137645,0.54,26.07,5128942.0,1,1,1,0.0
CMCSA,Comcast Corp,Communication Services,Telecom Services,165.47B,11.24,8.99,1.00%,Jan 25/b,"20,854,924",41.66,13.95,2024-02-20,57.797615,46.73,0.9101448146514362,7,4,4.0,0,1,0,0,42.1779999,42.8829504957984,43.28309711132093,43.53342498,42.61010027,-2.85,-2.23,19814956.0,1,0,0,0.0
GE,General Electric Co.,Industrials,Specialty Industrial Machinery,161.75B,17.78,24.90,0.36%,Jan 23/b,"5,719,073",148.62,86.04,2024-02-20,198.415253,149.160004,1.8036731508834516,7,7,7.0,1,1,1,1,142.9,140.50050061789796,133.44321571963238,130.69088584,115.419261985,5.78,28.77,5030070.0,1,1,1,0.0
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,159.72B,15.58,14.09,0.24%,Feb 05/b,"2,701,572",313.74,73.64,2024-02-20,323.589996,323.589996,2.1962636503766744,7,7,7.0,1,1,1,1,319.5369994,313.0822876133048,299.1126839072013,294.76340334,261.340636765,0.21,20.05,2944462.0,1,1,1,0.0
UBER,Uber Technologies Inc,Technology,Software - Application,159.06B,87.32,38.91,3.99%,Feb 07/b,"23,816,360",76.60,96.11,2024-02-20,81.389999,81.389999,0.8509214223557915,7,7,7.0,1,1,1,1,73.7300012,71.89945943168317,66.52954052559656,65.0670001,50.21239996,6.54,52.55,32016106.0,1,0,1,0.0
AMAT,Applied Materials Inc.,Technology,Semiconductor Equipment & Materials,157.38B,22.25,19.94,0.39%,Feb 15/a,"11,216,103",189.14,84.49,2024-02-20,199.570007,199.570007,1.257611946461332,7,7,7.0,1,1,1,1,182.7739989,179.03996510923798,168.49571100958264,164.4607995,145.76705509,5.64,29.75,6342386.0,1,1,1,0.0
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,156.52B,30.17,24.46,22.39%,Dec 21/a,"8,759,480",103.30,6.2,2024-02-20,173.070923,126.647705,0.7738720961127308,7,2,2.0,0,1,0,0,104.6040009,104.00673784344087,104.92999947643868,107.33740012,105.857632875,-0.68,-2.42,9694062.0,1,0,0,0.0
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,155.78B,78.51,10.11,0.06%,Jan 30/b,"34,232,008",27.59,0.0,2024-02-20,55.907265,41.837437,0.983693110413541,7,0,0.0,0,0,0,0,27.4649999,27.47278932827143,27.867353799585025,27.75381394,32.17417191,0.43,-14.25,48531532.0,0,0,0,0.0
NOW,ServiceNow Inc,Technology,Software - Application,154.33B,89.45,47.06,0.56%,Jan 25/b,"1,485,501",752.84,82.16,2024-02-20,812.940002,812.940002,1.7834620687680998,7,7,7.0,1,1,1,1,783.1140015000001,772.7484541603482,744.1853092700464,735.16139894,609.762450265,-2.58,23.46,1166844.0,1,1,1,0.0
AXP,American Express Co.,Financial,Credit Services,153.82B,18.95,14.37,0.14%,Jan 26/b,"3,341,695",212.49,75.96,2024-02-20,212.559998,212.559998,2.0804203970416504,7,7,7.0,1,1,1,1,210.8819993,206.335678534621,194.8619784676273,190.94670656,167.08356462,2.98,27.18,3402848.0,0,1,1,0.0
BX,Blackstone Inc,Financial,Asset Management,152.58B,68.81,20.67,41.84%,Jan 25/b,"2,982,344",126.33,79.06,2024-02-20,136.358536,132.12323,1.401368649988335,7,7,7.0,1,1,1,1,127.2619987,125.86392593377404,122.38199965915588,123.2986449,103.75442636,0.37,21.76,3829136.0,1,1,1,0.0
AMGN,AMGEN Inc.,Healthcare,Drug Manufacturers - General,151.94B,22.71,13.33,0.27%,Feb 06/a,"3,402,126",283.51,40.31,2024-02-20,322.04245,322.04245,0.8022933667406116,7,6,6.0,1,1,0,1,291.3091155,295.5071007438316,294.2070156629994,293.93010922,257.08750343,-4.06,10.28,2911814.0,1,0,0,0.0
UNP,Union Pacific Corp.,Industrials,Railroads,150.70B,23.64,19.59,0.39%,Jan 25/b,"1,907,246",247.14,52.71,2024-02-20,265.163269,250.550003,0.970142255436746,7,7,7.0,1,1,1,1,248.4699997,246.8060156774988,241.9236404360109,242.39440036,217.655837185,0.14,13.55,2453824.0,1,0,1,0.0
TXN,Texas Instruments Inc.,Technology,Semiconductors,147.98B,23.01,25.40,0.16%,Jan 23/a,"5,406,180",162.74,14.73,2024-02-20,187.160355,181.669662,0.7470530648185545,7,3,2.0,1,1,0,0,159.93800199999998,161.17735243076555,161.64699465388995,163.79910032,162.148471135,0.97,0.36,5856936.0,0,0,0,0.0
MS,Morgan Stanley,Financial,Capital Markets,140.09B,16.50,11.70,23.26%,Jan 16/b,"6,626,357",85.35,17.83,2024-02-20,100.833351,96.902977,1.2456803238739578,7,5,5.0,1,1,0,0,85.5999999,86.00056418175458,85.94210489236193,87.63205886,82.75317294,-0.76,3.14,8717740.0,1,1,0,0.0
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,139.16B,17.87,12.73,0.24%,Feb 08/b,"4,447,982",89.64,9.3,2024-02-20,100.535828,98.225197,1.0505312531928617,7,3,3.0,0,1,0,0,89.7910018,90.50804811309916,91.55197480078084,92.46361676,91.93174143999998,-0.96,-2.49,5258206.0,1,1,0,0.0
SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges,133.81B,51.75,26.63,0.15%,Feb 08/b,"2,424,688",426.01,34.88,2024-02-20,470.121094,459.720001,1.0660168307502356,7,6,6.0,1,1,0,1,433.4820038,435.2281375917733,433.6049513236438,436.97280152,396.694031835,-2.12,7.39,1271716.0,1,1,0,0.0
ISRG,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,133.05B,75.10,51.84,0.72%,Jan 23/a,"1,445,682",377.64,76.74,2024-02-20,391.380005,391.380005,1.174694934211353,7,6,6.0,1,1,1,1,383.5450073,378.6623040183582,362.02194524560247,355.05820192000004,317.738800355,-0.27,18.85,1730470.0,1,1,1,0.0
SYK,Stryker Corp.,Healthcare,Medical Devices,132.36B,42.21,26.18,6.19%,Jan 30/a,"1,161,919",348.07,68.21,2024-02-20,349.420013,349.420013,1.643040202386845,7,7,7.0,1,1,1,1,343.9949981,337.79296197360014,321.5178035036818,313.3101984,289.576817795,3.04,20.2,1441752.0,1,1,1,0.0
HON,Honeywell International Inc,Industrials,Conglomerates,131.15B,23.48,18.43,0.14%,Feb 01/b,"2,761,051",198.94,21.7,2024-02-20,223.091614,209.710007,0.9517392945416469,7,4,4.0,1,1,0,0,195.6330001,197.41338661704705,198.30165439428364,201.0729996,193.83045658,0.77,2.64,3205966.0,1,0,0,0.0
LOW,"Lowe's Cos., Inc.",Consumer Cyclical,Home Improvement Retail,129.69B,17.38,17.76,0.12%,Feb 27/b,"2,580,058",225.51,31.78,2024-02-20,250.097,232.547897,1.0293210114306284,7,6,6.0,1,1,1,0,224.5369981,222.4613709225292,217.959390004826,218.204216,211.88216062,1.37,6.43,2897704.0,1,1,0,0.0
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services,129.12B,25.78,21.01,0.91%,Feb 22/a,"254,940",3700.86,72.86,2024-02-20,3840.219971,3840.219971,1.889153808088533,7,7,7.0,1,1,1,1,3739.677001900001,3674.72991063056,3552.42831722402,3539.4891894800003,3072.38934205,0.71,20.46,256892.0,1,1,1,0.0
COP,Conoco Phillips,Energy,Oil & Gas E&P,128.86B,12.08,11.42,0.15%,Feb 08/b,"6,458,274",109.54,15.5,2024-02-20,127.939781,125.062752,1.0339724368303331,7,3,3.0,0,0,0,0,110.5475899,110.41549827305774,111.41648874983989,111.91507122000002,111.04908519,-0.79,-1.36,6247326.0,1,1,0,0.0
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,126.63B,19.08,15.26,15.13%,Jan 30/b,"4,255,142",148.64,5.43,2024-02-20,213.685425,188.084045,0.96290462605821,7,1,1.0,0,0,0,0,145.495491,146.83796934869136,149.51539304476503,152.66499574,158.68545114,1.23,-6.33,4237122.0,1,0,0,0.0
GS,"Goldman Sachs Group, Inc.",Financial,Capital Markets,125.40B,16.85,9.78,0.56%,Jan 16/b,"2,358,977",384.52,41.86,2024-02-20,398.167816,392.640015,1.2062791497820935,7,7,7.0,1,1,1,1,384.4760041,383.6089568242494,377.02820178583454,379.76440002,337.47274904,0.24,13.94,2308474.0,1,1,1,0.0
PLD,Prologis Inc,Real Estate,REIT - Industrial,124.48B,41.99,39.11,1.44%,Jan 17/b,"2,995,336",133.35,38.76,2024-02-20,164.90361,136.25,1.160323660375295,7,6,6.0,1,1,1,1,131.7000015,130.8655745225151,128.31229212247553,129.9055264,119.912622995,1.9,11.21,3556260.0,1,1,1,0.0
BA,Boeing Co.,Industrials,Aerospace & Defense,124.08B,-,25.31,0.15%,Jan 31/b,"5,248,399",203.37,8.53,2024-02-20,430.299957,264.269989,0.7948417675124925,7,3,3.0,0,1,0,0,206.8680008,208.2455281287904,215.70004833049265,228.09100072,214.35145016,-2.34,-5.12,10112458.0,1,0,0,0.0
T,"AT&T, Inc.",Communication Services,Telecom Services,120.91B,8.61,7.34,0.10%,Jan 24/b,"29,103,904",16.91,30.23,2024-02-20,21.439379,18.93388,1.0191835919214072,7,6,6.0,1,1,1,1,17.04,17.080448594244412,16.849243783968202,16.81331894,15.292832965,-1.0,10.57,40304326.0,1,1,1,0.0
RTX,RTX Corp,Industrials,Aerospace & Defense,120.71B,40.64,14.82,0.10%,Jan 23/b,"6,023,727",90.98,24.8,2024-02-20,102.543854,102.543854,1.0647140339095964,7,5,5.0,1,1,1,1,91.2660002,90.60138055316952,88.03585498965626,86.7326005,85.58368665,0.42,6.31,7735798.0,1,1,1,0.0
ELV,Elevance Health Inc,Healthcare,Healthcare Plans,119.57B,20.22,12.26,0.48%,Jan 24/b,"611,229",508.91,33.33,2024-02-20,538.505676,512.630005,1.568612557370861,7,6,6.0,1,1,1,0,504.6879946,499.3933971264976,487.72090398741335,482.77839666,460.610323325,1.91,10.49,1115944.0,1,1,0,0.0
BLK,Blackrock Inc.,Financial,Asset Management,118.73B,21.86,17.64,1.72%,Jan 12/b,"582,338",798.11,45.73,2024-02-20,913.899536,819.0,1.484281305283473,7,7,7.0,1,1,1,1,792.848004,791.4190529190647,781.2340366785626,790.4899975200001,702.2928213399999,0.85,13.64,648780.0,1,1,1,0.0
LRCX,Lam Research Corp.,Technology,Semiconductor Equipment & Materials,118.05B,34.81,25.28,0.56%,Jan 24/a,"1,089,031",900.44,89.91,2024-02-20,926.030029,926.030029,1.4811453214321533,7,7,7.0,1,1,1,1,891.5640073999999,874.5321182922299,822.5351042620529,803.7942626600001,678.226842475,2.96,32.76,1088538.0,1,1,1,0.0
NEE,NextEra Energy Inc,Utilities,Utilities - Regulated Electric,116.15B,15.70,15.44,0.50%,Jan 25/b,"13,014,554",56.61,1.55,2024-02-20,88.899971,77.366058,0.8509999197179515,7,0,0.0,0,0,0,0,56.52000009999999,57.21882222737846,58.18635543272031,59.2813999,64.041406795,-1.06,-11.6,10882532.0,1,0,0,0.0
PANW,Palo Alto Networks Inc,Technology,Software - Infrastructure,115.43B,57.20,57.89,1.36%,Feb 20/a,"10,458,807",366.09,95.34,2024-02-20,376.899994,376.899994,1.268740491448066,7,7,7.0,1,1,1,1,365.7849976,356.90894140624533,333.9944924285772,325.68679746000004,259.591499075,2.57,41.03,3543210.0,0,1,1,0.0
